Level,Subject,Gender,Condition,Even/Odd(W),A-->D (W),PYT(W),3^9(R),Convo(R),A-->C(R),Empty
ADV,MATH,M,MATH ADV,6,NA,3,4,5,2,
OTHER,OTHER,F,OTHER,5,3,4,6,6,5,
OTHER,OTHER,F,OTHER,NA,NA,NA,NA,1,NA,
OTHER,OTHER,M,OTHER,5,5,3,1,4,NA,
OTHER,OTHER,F,OTHER,4,4,4,7,4,7,
OTHER,OTHER,M,OTHER,7,4,6,7,7,NA,
OTHER,OTHER,F,OTHER,3,4,5,5,4,6,
OTHER,OTHER,F,OTHER,7,4,7,7,7,3,
OTHER,OTHER,F,OTHER,3,1,4,5,4,5,
OTHER,OTHER,F,OTHER,6,5,7,1,4,6,
OTHER,OTHER,F,OTHER,7,5,7,7,4,,
OTHER,OTHER,F,OTHER,4,1,5,1,3,6,
OTHER,OTHER,M,OTHER,5,5,4,6,4,4,
OTHER,OTHER,M,OTHER,4,1,7,NA,4,3,
OTHER,OTHER,M,OTHER,5,5,4,6,5,6,
OTHER,OTHER,F,OTHER,6,4,4,4,4,3,
OTHER,OTHER,M,OTHER,NA,NA,NA,NA,4,4,
OTHER,OTHER,F,OTHER,1,1,1,1,1,1,
OTHER,OTHER,F,OTHER,4,1,6,1,5,7,
OTHER,OTHER,NA,OTHER,5,4,1,5,1,4,
OTHER,OTHER,M,OTHER,1,1,1,4,1,1,
OTHER,OTHER,F,OTHER,5,5,3,3,4,3,
OTHER,OTHER,F,OTHER,4,1,4,6,4,1,
OTHER,OTHER,F,OTHER,4,3,4,5,4,6,
OTHER,OTHER,M,OTHER,1,1,1,1,4,5,
BEG,MATH,F,MATH BEG,NA,NA,NA,NA,NA,NA,
